Time differences (ps),Counts per bin,g2_normalized
-128900,216,0.966000375291521
-128800,217,0.970472599251204
-128700,213,0.9525837034124721
-128600,242,1.082278198243278
-128500,228,1.0196670628077167
-128400,210,0.9391670315334232
-128300,201,0.8989170158962765
-128200,237,1.0599170784448633
-128100,202,0.9033892398559595
-128000,213,0.9525837034124721
-127900,227,1.0151948388480336
-127800,220,0.9838892711302529
-127700,203,0.9078614638156425
-127600,198,0.8855003440172277
-127500,201,0.8989170158962765
-127400,247,1.1046393180416931
-127300,209,0.9346948075737402
-127200,205,0.9168059117350084
-127100,201,0.8989170158962765
-127000,237,1.0599170784448633
-126900,205,0.9168059117350084
-126800,216,0.966000375291521
-126700,203,0.9078614638156425
-126600,210,0.9391670315334232
-126500,250,1.1180559899207418
-126400,248,1.109111542001376
-126300,199,0.8899725679769106
-126200,225,1.0062503909286677
-126100,221,0.9883614950899359
-126000,244,1.0912226461626442
-125900,213,0.9525837034124721
-125800,231,1.0330837346867656
-125700,228,1.0196670628077167
-125600,244,1.0912226461626442
-125500,195,0.8720836721381787
-125400,220,0.9838892711302529
-125300,238,1.0643893024045463
-125200,210,0.9391670315334232
-125100,239,1.0688615263642294
-125000,216,0.966000375291521
-124900,217,0.970472599251204
-124800,210,0.9391670315334232
-124700,215,0.9615281513318381
-124600,242,1.082278198243278
-124500,225,1.0062503909286677
-124400,198,0.8855003440172277
-124300,210,0.9391670315334232
-124200,203,0.9078614638156425
-124100,211,0.9436392554931062
-124000,217,0.970472599251204
-123900,208,0.9302225836140573
-123800,231,1.0330837346867656
-123700,242,1.082278198243278
-123600,231,1.0330837346867656
-123500,215,0.9615281513318381
-123400,239,1.0688615263642294
-123300,208,0.9302225836140573
-123200,251,1.122528213880425
-123100,208,0.9302225836140573
-123000,258,1.1538337815982056
-122900,211,0.9436392554931062
-122800,231,1.0330837346867656
-122700,243,1.0867504222029611
-122600,225,1.0062503909286677
-122500,242,1.082278198243278
-122400,218,0.9749448232108869
-122300,225,1.0062503909286677
-122200,227,1.0151948388480336
-122100,220,0.9838892711302529
-122000,230,1.0286115107270826
-121900,249,1.113583765961059
-121800,266,1.1896115732756694
-121700,212,0.9481114794527892
-121600,228,1.0196670628077167
-121500,213,0.9525837034124721
-121400,219,0.97941704717057
-121300,194,0.8676114481784958
-121200,201,0.8989170158962765
-121100,220,0.9838892711302529
-121000,234,1.0465004065658146
-120900,216,0.966000375291521
-120800,225,1.0062503909286677
-120700,214,0.9570559273721551
-120600,236,1.0554448544851804
-120500,248,1.109111542001376
-120400,256,1.1448893336788397
-120300,235,1.0509726305254974
-120200,215,0.9615281513318381
-120100,203,0.9078614638156425
-120000,226,1.0107226148883508
-119900,267,1.1940837972353524
-119800,214,0.9570559273721551
-119700,212,0.9481114794527892
-119600,219,0.97941704717057
-119500,205,0.9168059117350084
-119400,208,0.9302225836140573
-119300,256,1.1448893336788397
-119200,212,0.9481114794527892
-119100,199,0.8899725679769106
-119000,224,1.0017781669689847
-118900,229,1.0241392867673995
-118800,213,0.9525837034124721
-118700,238,1.0643893024045463
-118600,226,1.0107226148883508
-118500,228,1.0196670628077167
-118400,212,0.9481114794527892
-118300,259,1.1583060055578887
-118200,243,1.0867504222029611
-118100,241,1.0778059742835953
-118000,219,0.97941704717057
-117900,222,0.9928337190496188
-117800,223,0.9973059430093018
-117700,189,0.8452503283800809
-117600,190,0.8497225523397639
-117500,233,1.0420281826061315
-117400,220,0.9838892711302529
-117300,237,1.0599170784448633
-117200,221,0.9883614950899359
-117100,237,1.0599170784448633
-117000,213,0.9525837034124721
-116900,212,0.9481114794527892
-116800,252,1.127000437840108
-116700,213,0.9525837034124721
-116600,216,0.966000375291521
-116500,234,1.0465004065658146
-116400,214,0.9570559273721551
-116300,212,0.9481114794527892
-116200,218,0.9749448232108869
-116100,212,0.9481114794527892
-116000,224,1.0017781669689847
-115900,209,0.9346948075737402
-115800,191,0.8541947762994468
-115700,221,0.9883614950899359
-115600,226,1.0107226148883508
-115500,209,0.9346948075737402
-115400,237,1.0599170784448633
-115300,210,0.9391670315334232
-115200,234,1.0465004065658146
-115100,217,0.970472599251204
-115000,173,0.7736947450251535
-114900,222,0.9928337190496188
-114800,226,1.0107226148883508
-114700,232,1.0375559586464485
-114600,198,0.8855003440172277
-114500,240,1.0733337503239122
-114400,220,0.9838892711302529
-114300,237,1.0599170784448633
-114200,225,1.0062503909286677
-114100,246,1.10016709408201
-114000,231,1.0330837346867656
-113900,243,1.0867504222029611
-113800,230,1.0286115107270826
-113700,241,1.0778059742835953
-113600,216,0.966000375291521
-113500,218,0.9749448232108869
-113400,249,1.113583765961059
-113300,200,0.8944447919365935
-113200,227,1.0151948388480336
-113100,222,0.9928337190496188
-113000,230,1.0286115107270826
-112900,198,0.8855003440172277
-112800,224,1.0017781669689847
-112700,218,0.9749448232108869
-112600,244,1.0912226461626442
-112500,224,1.0017781669689847
-112400,231,1.0330837346867656
-112300,230,1.0286115107270826
-112200,203,0.9078614638156425
-112100,216,0.966000375291521
-112000,230,1.0286115107270826
-111900,237,1.0599170784448633
-111800,213,0.9525837034124721
-111700,230,1.0286115107270826
-111600,211,0.9436392554931062
-111500,216,0.966000375291521
-111400,235,1.0509726305254974
-111300,255,1.1404171097191569
-111200,221,0.9883614950899359
-111100,226,1.0107226148883508
-111000,237,1.0599170784448633
-110900,226,1.0107226148883508
-110800,228,1.0196670628077167
-110700,231,1.0330837346867656
-110600,226,1.0107226148883508
-110500,246,1.10016709408201
-110400,239,1.0688615263642294
-110300,257,1.1493615576385228
-110200,226,1.0107226148883508
-110100,221,0.9883614950899359
-110000,214,0.9570559273721551
-109900,198,0.8855003440172277
-109800,238,1.0643893024045463
-109700,255,1.1404171097191569
-109600,186,0.831833656501032
-109500,227,1.0151948388480336
-109400,230,1.0286115107270826
-109300,241,1.0778059742835953
-109200,220,0.9838892711302529
-109100,214,0.9570559273721551
-109000,217,0.970472599251204
-108900,243,1.0867504222029611
